index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
520,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,4,12228
540,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,4,13200
563,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5953
564,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,5,5953
565,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,5,5953
566,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,5,5953
567,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,5,5953
568,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,5,5953
569,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,5,5953
570,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,5,5953
619,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,5,5955
620,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,5,5955
621,SpiceJet,SG-8339,Delhi,Morning,one,Afternoon,Mumbai,Economy,24.67,5,5955
622,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,5,5955
624,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,5,6270
665,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,5,10260
738,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,6,5953
739,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,6,5953
740,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,6,5953
741,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,6,5953
742,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,6,5953
743,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,6,5953
744,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,6,5953
745,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,6,5953
799,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,6,6060
800,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,6,6060
802,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,6,6270
844,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,6,11281
877,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,6,12360
898,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,6,14328
919,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,7,5953
920,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,7,5953
921,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,7,5953
922,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,7,5953
923,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,7,5953
924,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,7,5953
925,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,7,5953
971,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,7,5955
974,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,7,5955
975,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,7,6060
1049,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,7,12010
1092,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,7,15720
1104,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,8,5953
1105,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,8,5953
1106,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,8,5953
1107,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,8,5953
1108,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,8,5953
1109,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,8,5953
1110,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,8,5953
1111,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,8,5953
1150,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,8,5955
1155,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,8,6060
1200,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,8,10260
1243,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,8,12857
1281,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,8,19464
1286,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
1287,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
1288,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
1289,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
1290,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,9,5955
1291,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,9,5955
1331,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,9,6060
1332,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,9,6060
1368,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,9,10233
1369,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,9,10233
1412,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,9,13200
1431,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,9,15771
1462,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,10,5953
1463,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,10,5953
1464,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,10,5953
1465,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,10,5953
1493,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,10,6270
1494,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,10,6270
1500,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,10,6480
1545,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,10,10651
1549,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,10,11047
1556,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,10,11624
1575,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,10,11911
1644,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,11,5953
1645,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,11,5953
1646,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,11,5953
1647,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,11,5953
1648,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,11,5953
1649,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,11,5953
1717,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,11,5955
1721,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,11,5955
1722,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,11,5955
1723,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,11,6060
1786,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,11,11598
1852,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,11,15720
1858,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,12,5955
1859,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,12,5955
1860,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,12,5955
1861,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,12,5955
1862,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,12,5955
1863,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,12,5955
1864,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,12,5955
1865,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,12,5955
1935,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,12,5955
1937,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,12,5955
1944,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,12,5955
1945,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,12,6060
1946,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,12,6060
2077,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,13,5953
2078,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,13,5953
2079,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,13,5953
2080,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,13,5953
2081,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,13,5953
2082,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,13,5953
2115,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,13,5955
2136,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,13,5951
2158,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,13,5955
2163,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,13,5955
2164,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,13,5955
2165,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,13,6060
2166,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,13,6060
2297,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,14,5955
2298,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,14,5955
2299,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,14,5955
2300,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,14,5955
2301,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,14,5955
2302,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,14,5955
2303,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,14,5955
2304,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,14,5955
2306,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,14,5955
2377,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,14,5955
2384,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,14,5955
2385,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,14,5955
2389,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,14,6270
2547,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,15,2621
2548,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,15,2621
2549,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,15,2621
2550,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,15,2621
2551,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,15,2621
2552,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,15,2621
2553,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,15,2621
2554,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,15,2621
2555,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,15,2621
2566,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,15,3024
2568,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,15,3519
2569,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,15,3519
2575,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,15,4053
2667,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,15,6049
2758,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,16,2621
2759,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,16,2621
2760,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,16,2621
2761,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,16,2621
2762,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,16,2621
2763,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,16,2621
2764,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,16,2621
2777,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,16,2937
2783,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,16,3519
2784,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,16,3519
2790,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,16,3791
2799,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,16,4683
2961,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,17,2621
2962,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,17,2621
2963,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,17,2621
2964,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,17,2621
2965,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,17,2621
2966,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,17,2621
2967,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,17,2621
2981,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,17,3251
2984,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,17,3519
2985,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,17,3519
2991,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,17,3791
3047,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,17,5523
3187,SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,18,2621
3188,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,18,2621
3189,SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,18,2621
3190,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,18,2621
3191,SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,18,2621
3192,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,18,2621
3193,SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,18,2621
3194,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,18,2621
3195,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,18,2621
3206,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,18,3024
3212,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,18,3519
3213,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,18,3519
3220,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,18,3835
3342,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,18,8016
3409,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,19,2621
3410,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,19,2621
3411,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,19,2621
3412,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,19,2621
3413,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,19,2621
3428,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,19,3519
3429,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,19,3519
3430,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,19,3519
3431,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,19,3519
3432,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,19,3519
3625,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,20,2621
3626,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,20,2621
3627,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,20,2621
3628,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,20,2621
3629,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,20,2621
3647,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,20,3519
3648,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,20,3519
3649,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,20,3519
3650,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,20,3519
3651,SpiceJet,SG-9974,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.08,20,3519
3652,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,20,3519
3846,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,21,2621
3847,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,21,2621
3848,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,21,2621
3849,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,21,2621
3850,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,21,2621
3870,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,21,3519
3871,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,21,3519
3872,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,21,3519
3880,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,21,3835
3881,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,21,3835
4056,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,22,2621
4057,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,22,2621
4058,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,22,2621
4059,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,22,2621
4060,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,22,2621
4076,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,22,3519
4077,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,22,3519
4078,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,22,3519
4079,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,22,3519
4080,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,22,3519
4272,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,23,2621
4273,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,23,2621
4274,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,23,2621
4275,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,23,2621
4276,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,23,2621
4293,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,23,3519
4294,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,23,3519
4295,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,23,3519
4296,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,23,3519
4316,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,23,4149
4489,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,24,2621
4490,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,24,2621
4491,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,24,2621
